id	sprite_name	type	team	unit_type	hp	mp	sight	special	terrain_type	building_type
0	sprite_0000	terrain	-1						ground	
1	sprite_0001	terrain	-1						ground	
2	sprite_0002	terrain	-1						ground	
3	sprite_0003	object	-1						water	
4	sprite_0004	building	-1						water	
5	sprite_0005	building	-1							
6	sprite_0006	building	-1							
7	sprite_0007	building	-1							
8	sprite_0008	building	-1							
9	sprite_0009	building	-1							
10	sprite_0010	building	-1							
11	sprite_0011	building	-1							
12	sprite_0012	building	-1							
13	sprite_0013	building	-1							
14	sprite_0014	building	-1							
15	sprite_0015	building	-1							
16	sprite_0016	building	-1							
17	sprite_0017	building	-1							
18	sprite_0018	terrain								
19	sprite_0019	terrain								
20	sprite_0020	terrain								
21	sprite_0021	terrain								
22	sprite_0022	terrain								
23	sprite_0023	terrain								
24	sprite_0024	terrain								
25	sprite_0025	terrain								
26	sprite_0026	terrain								
27	sprite_0027	terrain								
28	sprite_0028	terrain								
29	sprite_0029	terrain								
30	sprite_0030	terrain								
31	sprite_0031	terrain								
32	sprite_0032	terrain								
33	sprite_0033	terrain								
34	sprite_0034	terrain								
35	sprite_0035	terrain								
36	sprite_0036	terrain								
37	sprite_0037	terrain								
38	sprite_0038	terrain								
39	sprite_0039	terrain								
40	sprite_0040	terrain								
41	sprite_0041	terrain								
42	sprite_0042	terrain								
43	sprite_0043	terrain								
44	sprite_0044	terrain								
45	sprite_0045	terrain								
46	sprite_0046	terrain								
47	sprite_0047	terrain								
48	sprite_0048	terrain								
49	sprite_0049	terrain								
50	sprite_0050	terrain								
51	sprite_0051	terrain								
52	sprite_0052	terrain								
53	sprite_0053	terrain								
54	sprite_0054	terrain								
55	sprite_0055	terrain								
56	sprite_0056	terrain								
57	sprite_0057	terrain								
58	sprite_0058	terrain								
59	sprite_0059	terrain								
60	sprite_0060	terrain								
61	sprite_0061	terrain								
62	sprite_0062	terrain								
63	sprite_0063	terrain								
64	sprite_0064	terrain								
65	sprite_0065	terrain								
66	sprite_0066	terrain								
67	sprite_0067	terrain								
68	sprite_0068	terrain								
69	sprite_0069	terrain								
70	sprite_0070	terrain								
71	sprite_0071	terrain								
